username,firstname,lastname,email,password
teststud1,Liam,Smith,testuser1@example.com,TestP@assword123
teststud2,Emma,Johnson,testuser2@example.com,TestP@assword123
teststud3,Noah,Williams,testuser3@example.com,TestP@assword123
teststud4,Olivia,Brown,testuser4@example.com,TestP@assword123
teststud5,Elijah,Jones,testuser5@example.com,TestP@assword123
teststud6,Ava,Garcia,testuser6@example.com,TestP@assword123
teststud7,James,Miller,testuser7@example.com,TestP@assword123
teststud8,Isabella,Davis,testuser8@example.com,TestP@assword123
teststud9,William,Rodriguez,testuser9@example.com,TestP@assword123
teststud10,Sophia,Martinez,testuser10@example.com,TestP@assword123
teststud11,Benjamin,Hernandez,testuser11@example.com,TestP@assword123
teststud12,Mia,Lopez,testuser12@example.com,TestP@assword123
teststud13,Lucas,Gonzalez,testuser13@example.com,TestP@assword123
teststud14,Charlotte,Wilson,testuser14@example.com,TestP@assword123
teststud15,Henry,Anderson,testuser15@example.com,TestP@assword123
teststud16,Amelia,Thomas,testuser16@example.com,TestP@assword123
teststud17,Alexander,Taylor,testuser17@example.com,TestP@assword123
teststud18,Harper,Moore,testuser18@example.com,TestP@assword123
teststud19,Mason,Jackson,testuser19@example.com,TestP@assword123
teststud20,Evelyn,Martin,testuser20@example.com,TestP@assword123
teststud21,Michael,Lee,testuser21@example.com,TestP@assword123
teststud22,Abigail,Perez,testuser22@example.com,TestP@assword123
teststud23,Ethan,Thompson,testuser23@example.com,TestP@assword123
teststud24,Emily,White,testuser24@example.com,TestP@assword123
teststud25,Daniel,Harris,testuser25@example.com,TestP@assword123
teststud26,Ella,Sanchez,testuser26@example.com,TestP@assword123
teststud27,Jacob,Clark,testuser27@example.com,TestP@assword123
teststud28,Elizabeth,Ramirez,testuser28@example.com,TestP@assword123
teststud29,Logan,Lewis,testuser29@example.com,TestP@assword123
teststud30,Camila,Robinson,testuser30@example.com,TestP@assword123
teststud31,Jackson,Walker,testuser31@example.com,TestP@assword123
teststud32,Luna,Young,testuser32@example.com,TestP@assword123
teststud33,Levi,Allen,testuser33@example.com,TestP@assword123
teststud34,Sofia,King,testuser34@example.com,TestP@assword123
teststud35,Sebastian,Wright,testuser35@example.com,TestP@assword123
teststud36,Avery,Scott,testuser36@example.com,TestP@assword123
teststud37,Mateo,Torres,testuser37@example.com,TestP@assword123
teststud38,Mila,Nguyen,testuser38@example.com,TestP@assword123
